Entity,Code,Year,Dollars
Algeria,DZA,2012,1.84
Argentina,ARG,2012,2.79
Armenia,ARM,2012,1.69
Australia,AUS,2012,8.24
Austria,AUT,2012,4.97
Azerbaijan,AZE,2012,1.75
Bangladesh,BGD,2012,1.38
Belarus,BLR,2012,1.79
Belgium,BEL,2012,5.29
Bolivia,BOL,2012,2.89
Bosnia and Herzegovina,BIH,2012,3.19
Brazil,BRA,2012,2.33
Bulgaria,BGR,2012,5.76
Cambodia,KHM,2012,0.86
Cameroon,CMR,2012,7.54
Canada,CAN,2012,6.8
Chile,CHL,2012,3.69
China,CHN,2012,2.16
Colombia,COL,2012,1.67
Croatia,HRV,2012,4.81
Cyprus,CYP,2012,4.9
Czech Republic,CZE,2012,4.91
Denmark,DNK,2012,4.66
Dominican Republic,DOM,2012,5.53
Ecuador,ECU,2012,5.67
Egypt,EGY,2012,2.29
Estonia,EST,2012,4.8
Fiji,FJI,2012,4.23
Finland,FIN,2012,5.03
France,FRA,2012,6.69
Georgia,GEO,2012,1.57
Germany,DEU,2012,5.74
Ghana,GHA,2012,2.35
Greece,GRC,2012,4.71
Guatemala,GTM,2012,2.92
Honduras,HND,2012,3.18
Hungary,HUN,2012,4.82
Iceland,ISL,2012,7.42
India,IND,2012,5.33
Indonesia,IDN,2012,2.2
Iran,IRN,2012,2.26
Ireland,IRL,2012,10.59
Italy,ITA,2012,5.44
Jamaica,JAM,2012,12.19
Japan,JPN,2012,4.04
Kazakhstan,KAZ,2012,1.26
Kenya,KEN,2012,1.69
Latvia,LVA,2012,4.58
Lebanon,LBN,2012,2.35
Lithuania,LTU,2012,4.82
Luxembourg,LUX,2012,4.26
Macedonia,MKD,2012,2.81
Malaysia,MYS,2012,5.02
Mexico,MEX,2012,4.56
Moldova,MDA,2012,1.95
Mongolia,MNG,2012,0
Morocco,MAR,2012,4.08
Nepal,NPL,2012,1.78
Netherlands,NLD,2012,6.17
New Zealand,NZL,2012,8.53
Nicaragua,NIC,2012,2.84
Nigeria,NGA,2012,1.75
Norway,NOR,2012,8.33
Oman,OMN,2012,2.6
Pakistan,PAK,2012,0.97
Panama,PAN,2012,6.57
Peru,PER,2012,2.96
Philippines,PHL,2012,1.23
Poland,POL,2012,5.85
Portugal,PRT,2012,6.07
Romania,ROU,2012,5.79
Russia,RUS,2012,1.52
Saint Kitts and Nevis,KNA,2012,3.52
Samoa,WSM,2012,5.96
Saudi Arabia,SAU,2012,2.63
Senegal,SEN,2012,1.61
Serbia,SRB,2012,3.25
Singapore,SGP,2012,10.58
Slovakia,SVK,2012,4.66
Slovenia,SVN,2012,4.93
South Africa,ZAF,2012,5.16
South Korea,KOR,2012,3.22
Spain,ESP,2012,5.65
Sri Lanka,LKA,2012,7.63
Sweden,SWE,2012,5.6
Switzerland,CHE,2012,4.59
Thailand,THA,2012,2.94
Tonga,TON,2012,7.63
Tunisia,TUN,2012,2.82
Turkey,TUR,2012,4.92
Uganda,UGA,2012,1.79
Ukraine,UKR,2012,1.76
United Arab Emirates,ARE,2012,1.55
United Kingdom,GBR,2012,10.78
United States,USA,2012,6.07
Uruguay,URY,2012,3.98
Uzbekistan,UZB,2012,1.64
Venezuela,VEN,2012,5.95
Vietnam,VNM,2012,2.49
Yemen,YEM,2012,1.71
Zambia,ZMB,2012,1.68
Zimbabwe,ZWE,2012,0.67
